home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
Brazil,Russia,2,0,Carlos Alberto Parreira,Pavel Sadyrin,81061,"Stanford Stadium, San Francisco",Group stage,An Yan Lim Kee Chong,United States,1994
Netherlands,Saudi Arabia,2,1,Dick Advocaat,Jorge Solari,50535,"RFK Stadium, Washington Dc",Group stage,Manuel Diaz Vega,United States,1994
Belgium,Morocco,1,0,Paul Van Himst,Abdellah Blinda,61219,"Citrus Bowl, Orlando",Group stage,Jose Joaquin Torres Cadena,United States,1994
Norway,Mexico,1,0,Egil Olsen,Miguel Mejia Baron,52395,"RFK Stadium, Washington Dc",Group stage,Sandor Puhl,United States,1994
Cameroon,Sweden,2,2,Henri Michel,Tommy Svensson,93194,"Rose Bowl, Los Angeles",Group stage,Alberto Tejada Noriega,United States,1994
United States,Switzerland,1,1,Bora Milutinovic,Roy Hodgson,73425,"Pontiac Silverdome, Detroit",Group stage,Francisco Oscar Lamolina,United States,1994
Italy,Republic of Ireland,0,1,Arrigo Sacchi,Jack Charlton,75338,"Giants Stadium, New York/New Jersey",Group stage,Mario Van Der Ende,United States,1994
Colombia,Romania,1,3,Francisco Maturana,Anghel Iordanescu,91856,"Rose Bowl, Los Angeles",Group stage,Jamal Al Sharif,United States,1994
Germany,Bolivia,1,0,Berti Vogts,Xavier Azkargorta Uriarte,63117,"Soldier Field, Chicago",Group stage,Arturo Brizio Carter,United States,1994
Spain,Korea Republic,2,2,Javier Clemente,Ho Kon Kim,56247,"Cotton Bowl, Dallas",Group stage,Peter Mikkelsen,United States,1994
West Germany,Argentina,1,0,Franz Beckenbauer,Carlos Bilardo,73603,"Stadio Olimpico, Rome",Final,Edgardo Codesal Mendez,Italy,1990
Italy,England,2,1,Azeglio Vicini,Bobby Robson,51426,"Stadio San Nicola, Bari",Third-place match,Joel Quiniou,Italy,1990
West Germany,England,1,1,Franz Beckenbauer,Bobby Robson,62628,"Stadio delle Alpi, Turin",Semi-finals,Jose Ramiz Wright,Italy,1990
Italy,Argentina,1,1,Azeglio Vicini,Carlos Bilardo,59978,"San Paolo, Naples",Semi-finals,Michel Vautrot,Italy,1990
West Germany,Czechoslovakia,1,0,Franz Beckenbauer,Jozef Venglos,73347,"Giuseppe Meazza, Milan",Quarter-finals,Helmut Kohl,Italy,1990
England,Cameroon,3,2,Bobby Robson,Valeri Nepomnyashchi,55205,"San Paolo, Naples",Quarter-finals,Edgardo Codesal Mendez,Italy,1990
Yugoslavia,Argentina,0,0,Ivica Osim,Carlos Bilardo,38971,"Comunale, Florence",Quarter-finals,Kurt Roethlisberger,Italy,1990
Italy,Republic of Ireland,1,0,Azeglio Vicini,Jack Charlton,73303,"Stadio Olimpico, Rome",Quarter-finals,Carlos Alberto Silva Valente,Italy,1990
Spain,Yugoslavia,1,2,Luis Suarez,Ivica Osim,35500,"Marc Antonio Bentegodi, Verona",Round of 16,Aron Schmidhuber,Italy,1990
England,Belgium,1,0,Bobby Robson,Guy Thys,34520,"Renato Dall Ara, Bologna",Round of 16,Peter Mikkelsen,Italy,1990
Republic of Ireland,Romania,0,0,Jack Charlton,Emerich Jenei,31818,"Luigi Ferraris, Genoa",Round of 16,Jose Ramiz Wright,Italy,1990
Italy,Uruguay,2,0,Azeglio Vicini,Oscar Tabarez,73303,"Stadio Olimpico, Rome",Round of 16,George Courtney,Italy,1990
Brazil,Argentina,0,1,Sebastiao Lazaroni,Carlos Bilardo,61381,"Stadio delle Alpi, Turin",Round of 16,Joel Quiniou,Italy,1990
West Germany,Netherlands,2,1,Franz Beckenbauer,Leo Beenhakker,74559,"Giuseppe Meazza, Milan",Round of 16,Juan Loustau,Italy,1990
Cameroon,Colombia,2,1,Valeri Nepomnyashchi,Francisco Maturana,50026,"San Paolo, Naples",Round of 16,Tullio Lanese,Italy,1990
Czechoslovakia,Costa Rica,4,1,Jozef Venglos,Bora Milutinovic,47673,"Stadio San Nicola, Bari",Round of 16,Siegfried Kirschen,Italy,1990
Belgium,Spain,1,2,Guy Thys,Luis Suarez,35950,"Marc Antonio Bentegodi, Verona",Group stage,Juan Loustau,Italy,1990
Korea Republic,Uruguay,0,1,Hoe Taik Lee,Oscar Tabarez,29039,"Friuli, Udine",Group stage,Tullio Lanese,Italy,1990
Republic of Ireland,Netherlands,1,1,Jack Charlton,Leo Beenhakker,33288,"Della Favorita, Palermo",Group stage,Michel Vautrot,Italy,1990
England,Egypt,1,0,Bobby Robson,Mahmoud El Gohary,34959,"Sant Elia, Cagliari",Group stage,Kurt Roethlisberger,Italy,1990
Sweden,Costa Rica,1,2,Olle Nordin,Bora Milutinovic,30223,"Luigi Ferraris, Genoa",Group stage,Zoran Petrovic,Italy,1990
Brazil,Scotland,1,0,Sebastiao Lazaroni,Andy Roxburgh,62502,"Stadio delle Alpi, Turin",Group stage,Helmut Kohl,Italy,1990
West Germany,Colombia,1,1,Franz Beckenbauer,Francisco Maturana,72510,"Giuseppe Meazza, Milan",Group stage,Alan Snoddy,Italy,1990
Yugoslavia,United Arab Emirates,4,1,Ivica Osim,Carlos Alberto Parreira,27833,"Renato Dall Ara, Bologna",Group stage,Shizuo Takada,Italy,1990
Austria,United States,2,1,Josef Hickersberger,Bob Gansler,34857,"Comunale, Florence",Group stage,Jamal Al Sharif,Italy,1990
Italy,Czechoslovakia,2,0,Azeglio Vicini,Jozef Venglos,73303,"Stadio Olimpico, Rome",Group stage,Joel Quiniou,Italy,1990
Argentina,Romania,1,1,Carlos Bilardo,Emerich Jenei,52733,"San Paolo, Naples",Group stage,Carlos Alberto Silva Valente,Italy,1990
Cameroon,Soviet Union,0,4,Valeri Nepomnyashchi,Valeriy Lobanovskyi,37307,"Stadio San Nicola, Bari",Group stage,Jose Ramiz Wright,Italy,1990
Republic of Ireland,Egypt,0,0,Jack Charlton,Mahmoud El Gohary,33288,"Della Favorita, Palermo",Group stage,Marcel Van Langenhove,Italy,1990
Belgium,Uruguay,3,1,Guy Thys,Oscar Tabarez,33759,"Marc Antonio Bentegodi, Verona",Group stage,Siegfried Kirschen,Italy,1990
Korea Republic,Spain,1,3,Hoe Taik Lee,Luis Suarez,32733,"Dacia Arena, Udine",Group stage,Elias V. Jacome Guerrero,Italy,1990
Brazil,Costa Rica,1,0,Sebastiao Lazaroni,Bora Milutinovic,58007,"Stadio delle Alpi, Turin",Group stage,Neji Jouini,Italy,1990
England,Netherlands,0,0,Bobby Robson,Leo Beenhakker,35267,"Sant Elia, Cagliari",Group stage,Zoran Petrovic,Italy,1990
Sweden,Scotland,1,2,Olle Nordin,Andy Roxburgh,31823,"Luigi Ferraris, Genoa",Group stage,Carlos Maciel,Italy,1990
Austria,Czechoslovakia,0,1,Josef Hickersberger,Jozef Venglos,38962,"Comunale, Florence",Group stage,George Smith,Italy,1990
West Germany,United Arab Emirates,5,1,Franz Beckenbauer,Carlos Alberto Parreira,71169,"Giuseppe Meazza, Milan",Group stage,Alexey Spirin,Italy,1990
Yugoslavia,Colombia,1,0,Ivica Osim,Francisco Maturana,32257,"Renato Dall Ara, Bologna",Group stage,Luigi Agnolin,Italy,1990
Cameroon,Romania,2,1,Valeri Nepomnyashchi,Emerich Jenei,38687,"Stadio San Nicola, Bari",Group stage,Hernan Silva Arce,Italy,1990
Italy,United States,1,0,Azeglio Vicini,Bob Gansler,73423,"Stadio Olimpico, Rome",Group stage,Edgardo Codesal Mendez,Italy,1990
Uruguay,Spain,0,0,Oscar Tabarez,Luis Suarez,35713,"Dacia Arena, Udine",Group stage,Helmut Kohl,Italy,1990
Argentina,Soviet Union,2,0,Carlos Bilardo,Valeriy Lobanovskyi,55759,"San Paolo, Naples",Group stage,Erik Fredriksson,Italy,1990
Belgium,Korea Republic,2,0,Guy Thys,Hoe Taik Lee,32790,"Marc Antonio Bentegodi, Verona",Group stage,Vincent Mauro,Italy,1990
Netherlands,Egypt,1,1,Leo Beenhakker,Mahmoud El Gohary,33288,"Della Favorita, Palermo",Group stage,Emilio Soriano Aladren,Italy,1990
Costa Rica,Scotland,1,0,Bora Milutinovic,Andy Roxburgh,30867,"Luigi Ferraris, Genoa",Group stage,Juan Loustau,Italy,1990
England,Republic of Ireland,1,1,Bobby Robson,Jack Charlton,35238,"Sant Elia, Cagliari",Group stage,Aron Schmidhuber,Italy,1990
United States,Czechoslovakia,1,5,Bob Gansler,Jozef Venglos,33266,"Comunale, Florence",Group stage,Kurt Roethlisberger,Italy,1990
West Germany,Yugoslavia,4,1,Franz Beckenbauer,Ivica Osim,74765,"Giuseppe Meazza, Milan",Group stage,Peter Mikkelsen,Italy,1990
Brazil,Sweden,2,1,Sebastiao Lazaroni,Olle Nordin,62628,"Stadio delle Alpi, Turin",Group stage,Tullio Lanese,Italy,1990
United Arab Emirates,Colombia,0,2,Carlos Alberto Parreira,Francisco Maturana,30791,"Renato Dall Ara, Bologna",Group stage,George Courtney,Italy,1990
Soviet Union,Romania,0,2,Valeriy Lobanovskyi,Emerich Jenei,42907,"Stadio San Nicola, Bari",Group stage,Juan Cardellino De San Vicente,Italy,1990
Italy,Austria,1,0,Azeglio Vicini,Josef Hickersberger,73303,"Stadio Olimpico, Rome",Group stage,Jose Ramiz Wright,Italy,1990
Argentina,Cameroon,0,1,Carlos Bilardo,Valeri Nepomnyashchi,73780,"Giuseppe Meazza, Milan",Group stage,Michel Vautrot,Italy,1990
Argentina,West Germany,3,2,Carlos Bilardo,Franz Beckenbauer,114600,"Estadio Azteca, Mexico City",Final,Romualdo Arppi Filho,Mexico,1986
France,Belgium,4,2,Henri Michel,Guy Thys,21000,"Cuauhtemoc, Puebla",Third-place match,George Courtney,Mexico,1986
France,West Germany,0,2,Henri Michel,Franz Beckenbauer,45000,"Jalisco, Guadalajara",Semi-finals,Luigi Agnolin,Mexico,1986
Argentina,Belgium,2,0,Carlos Bilardo,Guy Thys,114500,"Estadio Azteca, Mexico City",Semi-finals,Antonio Marquez Ramirez,Mexico,1986
Argentina,England,2,1,Carlos Bilardo,Bobby Robson,114580,"Estadio Azteca, Mexico City",Quarter-finals,Ali Bennaceur,Mexico,1986
Spain,Belgium,1,1,Miguel Munoz,Guy Thys,45000,"Cuauhtemoc, Puebla",Quarter-finals,Siegfried Kirschen,Mexico,1986
Brazil,France,1,1,Tele Santana,Henri Michel,65000,"Jalisco, Guadalajara",Quarter-finals,Ioan Igna,Mexico,1986
West Germany,Mexico,0,0,Franz Beckenbauer,Bora Milutinovic,41700,"Estadio Universitario, Monterrey",Quarter-finals,Jesus Diaz Palacio,Mexico,1986
England,Paraguay,3,0,Bobby Robson,Cayetano Re,98728,"Estadio Azteca, Mexico City",Round of 16,Jamal Al Sharif,Mexico,1986
Denmark,Spain,1,5,Sepp Piontek,Miguel Munoz,38500,"Estadio Corregidora, Queretaro",Round of 16,Jan Keizer,Mexico,1986
Italy,France,0,2,Enzo Bearzot,Henri Michel,70000,"Estadio Olï¿½mpico Universitario, Mexico City",Round of 16,Carlos Esposito,Mexico,1986
Morocco,West Germany,0,1,Jose Faria,Franz Beckenbauer,19800,"Estadio Universitario, Monterrey",Round of 16,Zoran Petrovic,Mexico,1986
Brazil,Poland,4,0,Tele Santana,Antoni Piechniczek,45000,"Jalisco, Guadalajara",Round of 16,Volker Roth,Mexico,1986
Argentina,Uruguay,1,0,Carlos Bilardo,Omar Borras,26000,"Cuauhtemoc, Puebla",Round of 16,Luigi Agnolin,Mexico,1986
Mexico,Bulgaria,2,0,Bora Milutinovic,Ivan Vutsov,114580,"Estadio Azteca, Mexico City",Round of 16,Romualdo Arppi Filho,Mexico,1986
Soviet Union,Belgium,3,4,Valeriy Lobanovskyi,Guy Thys,32277,"Nou Camp - Estadio Leï¿½n, Leon",Round of 16,Erik Fredriksson,Mexico,1986
Scotland,Uruguay,0,0,Alex Ferguson,Omar Borras,20000,"Neza, Nezahualcoyotl",Group stage,Joel Quiniou,Mexico,1986
Denmark,West Germany,2,0,Sepp Piontek,Franz Beckenbauer,36000,"Estadio Corregidora, Queretaro",Group stage,Alexis Ponnet,Mexico,1986
Algeria,Spain,0,3,Rabah Saadane,Miguel Munoz,23980,"Tecnologico, Monterrey",Group stage,Shizuo Takada,Mexico,1986
Northern Ireland,Brazil,0,3,Billy Bingham,Tele Santana,51000,"Jalisco, Guadalajara",Group stage,Siegfried Kirschen,Mexico,1986
Paraguay,Belgium,2,2,Cayetano Re,Guy Thys,16000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,Bogdan Dotchev,Mexico,1986
Iraq,Mexico,0,1,Evaristo,Bora Milutinovic,103763,"Estadio Azteca, Mexico City",Group stage,Zoran Petrovic,Mexico,1986
England,Poland,3,0,Bobby Robson,Antoni Piechniczek,22700,"Tecnologico, Monterrey",Group stage,Andre Daina,Mexico,1986
Portugal,Morocco,1,3,Jose Torres,Jose Faria,28000,"Tres de Marzo, Guadalajara",Group stage,Alan Snoddy,Mexico,1986
Argentina,Bulgaria,2,0,Carlos Bilardo,Ivan Vutsov,65000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,Berny Ulloa Morera,Mexico,1986
Korea Republic,Italy,2,3,Jung Nam Kim,Enzo Bearzot,20000,"Cuauhtemoc, Puebla",Group stage,David Socha,Mexico,1986
Soviet Union,Canada,2,0,Valeriy Lobanovskyi,Tony Waiters,14200,"Estadio Irapuato, Irapuato",Group stage,Idrissa Traore,Mexico,1986
Hungary,France,0,3,Gyorgy Mezey,Henri Michel,31420,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Carlos Alberto Silva Valente,Mexico,1986
West Germany,Scotland,2,1,Franz Beckenbauer,Alex Ferguson,30000,"Estadio Corregidora, Queretaro",Group stage,Ioan Igna,Mexico,1986
Iraq,Belgium,1,2,Evaristo,Guy Thys,20000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,Jesus Diaz Palacio,Mexico,1986
Denmark,Uruguay,6,1,Sepp Piontek,Omar Borras,26500,"Neza, Nezahualcoyotl",Group stage,Antonio Marquez Ramirez,Mexico,1986
Mexico,Paraguay,1,1,Bora Milutinovic,Cayetano Re,114600,"Estadio Azteca, Mexico City",Group stage,George Courtney,Mexico,1986
Northern Ireland,Spain,1,2,Billy Bingham,Miguel Munoz,28000,"Tres de Marzo, Guadalajara",Group stage,Horst Brummeier,Mexico,1986
Poland,Portugal,1,0,Antoni Piechniczek,Jose Torres,19915,"Estadio Universitario, Monterrey",Group stage,Ali Bennaceur,Mexico,1986
Brazil,Algeria,1,0,Tele Santana,Rabah Saadane,48000,"Jalisco, Guadalajara",Group stage,Romulo Mendez Molina,Mexico,1986
Hungary,Canada,2,0,Gyorgy Mezey,Tony Waiters,13800,"Estadio Irapuato, Irapuato",Group stage,Jamal Al Sharif,Mexico,1986
England,Morocco,0,0,Bobby Robson,Jose Faria,20200,"Tecnologico, Monterrey",Group stage,Gabriel Gonzalez Roa,Mexico,1986
Italy,Argentina,1,1,Enzo Bearzot,Carlos Bilardo,32000,"Cuauhtemoc, Puebla",Group stage,Jan Keizer,Mexico,1986
France,Soviet Union,1,1,Henri Michel,Valeriy Lobanovskyi,36540,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Romualdo Arppi Filho,Mexico,1986
Korea Republic,Bulgaria,1,1,Jung Nam Kim,Ivan Vutsov,45000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,Fallaj Khuzam Al Shanar,Mexico,1986
Paraguay,Iraq,1,0,Cayetano Re,Evaristo,24000,"Bombonera - Estadio Nemesio Diez, Toluca",Group stage,Edwin Picon-Ackong,Mexico,1986
Uruguay,West Germany,1,1,Omar Borras,Franz Beckenbauer,30500,"Estadio Corregidora, Queretaro",Group stage,Vojtech Christov,Mexico,1986
Scotland,Denmark,0,1,Alex Ferguson,Sepp Piontek,18000,"Neza, Nezahualcoyotl",Group stage,Lajos Nemeth,Mexico,1986
Belgium,Mexico,1,2,Guy Thys,Bora Milutinovic,110000,"Estadio Azteca, Mexico City",Group stage,Carlos Esposito,Mexico,1986
Algeria,Northern Ireland,1,1,Rabah Saadane,Billy Bingham,22000,"Tres de Marzo, Guadalajara",Group stage,Valeri Butenko,Mexico,1986
Portugal,England,1,0,Jose Torres,Bobby Robson,23000,"Tecnologico, Monterrey",Group stage,Volker Roth,Mexico,1986
Soviet Union,Hungary,6,0,Valeriy Lobanovskyi,Gyorgy Mezey,16500,"Estadio Irapuato, Irapuato",Group stage,Luigi Agnolin,Mexico,1986
Argentina,Korea Republic,3,1,Carlos Bilardo,Jung Nam Kim,60000,"Estadio Olï¿½mpico Universitario, Mexico City",Group stage,Victoriano Sanchez Arminio,Mexico,1986
Morocco,Poland,0,0,Jose Faria,Antoni Piechniczek,19900,"Estadio Universitario, Monterrey",Group stage,Jose Luis Martinez Bazan,Mexico,1986
Spain,Brazil,0,1,Miguel Munoz,Tele Santana,35748,"Jalisco, Guadalajara",Group stage,Christopher Bambridge,Mexico,1986
Canada,France,0,1,Tony Waiters,Henri Michel,65500,"Nou Camp - Estadio Leï¿½n, Leon",Group stage,Hernan Silva Arce,Mexico,1986
Bulgaria,Italy,1,1,Ivan Vutsov,Enzo Bearzot,96000,"Estadio Azteca, Mexico City",Group stage,Erik Fredriksson,Mexico,1986
Italy,West Germany,3,1,Enzo Bearzot,Jupp Derwall,90000,"Santiago Bernabeu, Madrid",Final,Arnaldo Coelho,Spain,1982
Poland,France,3,2,Antoni Piechniczek,Michel Hidalgo,28000,"Jose Rico Perez, Alicante",Third-place match,Antonio Garrido,Spain,1982
Poland,Italy,0,2,Antoni Piechniczek,Enzo Bearzot,50000,"Camp Nou, Barcelona",Semi-finals,Juan Cardellino De San Vicente,Spain,1982
West Germany,France,3,3,Jupp Derwall,Michel Hidalgo,70000,"Ramon Sanchez Pizjuan, Seville",Semi-finals,Charles Corver,Spain,1982
Italy,Brazil,3,2,Enzo Bearzot,Tele Santana,44000,"Sarria, Barcelona",Second group stage,Abraham Klein,Spain,1982
Spain,England,0,0,Jose Santamaria,Ron Greenwood,75000,"Santiago Bernabeu, Madrid",Second group stage,Alexis Ponnet,Spain,1982
France,Northern Ireland,4,1,Michel Hidalgo,Billy Bingham,37000,"Vicente Calderon, Madrid",Second group stage,Alojzy Jarguz,Spain,1982
Poland,Soviet Union,0,0,Antoni Piechniczek,Konstantin Beskov,65000,"Camp Nou, Barcelona",Second group stage,Robert Valentine,Spain,1982
Argentina,Brazil,1,3,Cesar Luis Menotti,Tele Santana,44000,"Sarria, Barcelona",Second group stage,Mario Rubio Vazquez,Spain,1982
West Germany,Spain,2,1,Jupp Derwall,Jose Santamaria,90089,"Santiago Bernabeu, Madrid",Second group stage,Paolo Casarin,Spain,1982
Austria,Northern Ireland,2,2,Georg Schmidt,Billy Bingham,20000,"Vicente Calderon, Madrid",Second group stage,Adolf Prokop,Spain,1982
Belgium,Soviet Union,0,1,Guy Thys,Konstantin Beskov,45000,"Camp Nou, Barcelona",Second group stage,Michel Vautrot,Spain,1982
Italy,Argentina,2,1,Enzo Bearzot,Cesar Luis Menotti,43000,"Sarria, Barcelona",Second group stage,Nicolae Rainea,Spain,1982
West Germany,England,0,0,Jupp Derwall,Ron Greenwood,75000,"Santiago Bernabeu, Madrid",Second group stage,Arnaldo Coelho,Spain,1982
Austria,France,0,1,Georg Schmidt,Michel Hidalgo,37000,"Vicente Calderon, Madrid",Second group stage,Karoly Palotai,Spain,1982
Poland,Belgium,3,0,Antoni Piechniczek,Guy Thys,65000,"Camp Nou, Barcelona",Second group stage,Jesus Paulino Siles,Spain,1982
England,Kuwait,1,0,Ron Greenwood,Carlos Alberto Parreira,39700,"San Mames, Bilbao",First group stage,Gilberto Aristizabal Murcia,Spain,1982
West Germany,Austria,1,0,Jupp Derwall,Georg Schmidt,41000,"El Molinon, Gijon",First group stage,Robert Valentine,Spain,1982
Northern Ireland,Spain,1,0,Billy Bingham,Jose Santamaria,49562,"Luis Casanova, Valencia",First group stage,Hector Ortiz,Spain,1982
France,Czechoslovakia,1,1,Michel Hidalgo,Jozef Venglos,28000,"Jose Zorrilla, Valladolid",First group stage,Paolo Casarin,Spain,1982
Algeria,Chile,3,2,Rachid Mekhloufi,Luis Alberto Santibanez,16000,"Carlos Tartiere, Oviedo",First group stage,Romulo Mendez Molina,Spain,1982
Honduras,Yugoslavia,0,1,Jose De La Paz,Miljan Miljanic,25000,"La Romareda, Zaragoza",First group stage,Gaston Castro,Spain,1982
Italy,Cameroon,1,1,Enzo Bearzot,Jean Vincent,20000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,Bogdan Dotchev,Spain,1982
Argentina,El Salvador,2,0,Cesar Luis Menotti,Mauricio Rodriguez,32500,"Jose Rico Perez, Alicante",First group stage,Luis Barrancos,Spain,1982
Brazil,New Zealand,4,0,Tele Santana,John Adshead,43000,"Benito Villamarin, Seville",First group stage,Damir Matovinovic,Spain,1982
Poland,Peru,5,1,Antoni Piechniczek,Tim,25000,"Riazor, La Coruï¿½A",First group stage,Mario Rubio Vazquez,Spain,1982
Belgium,Hungary,1,1,Guy Thys,Kalman Meszoly,37000,"Nuevo Estadio, Elche",First group stage,Clive White,Spain,1982
Soviet Union,Scotland,2,2,Konstantin Beskov,Jock Stein,45000,"La Rosaleda, Malaga",First group stage,Nicolae Rainea,Spain,1982
Algeria,Austria,0,2,Rachid Mekhloufi,Georg Schmidt,22000,"Carlos Tartiere, Oviedo",First group stage,Tony Boskovic,Spain,1982
France,Kuwait,4,1,Michel Hidalgo,Carlos Alberto Parreira,30043,"Jose Zorrilla, Valladolid",First group stage,Miroslav Stupar,Spain,1982
Honduras,Northern Ireland,1,1,Jose De La Paz,Billy Bingham,15000,"La Romareda, Zaragoza",First group stage,Thomson Tam Sun Chan,Spain,1982
West Germany,Chile,4,1,Jupp Derwall,Luis Alberto Santibanez,42000,"El Molinon, Gijon",First group stage,Bruno Galler,Spain,1982
England,Czechoslovakia,2,0,Ron Greenwood,Jozef Venglos,41123,"San Mames, Bilbao",First group stage,Charles Corver,Spain,1982
Spain,Yugoslavia,2,1,Jose Santamaria,Miljan Miljanic,48000,"Luis Casanova, Valencia",First group stage,Henning Lund-Sorensen,Spain,1982
Poland,Cameroon,0,0,Antoni Piechniczek,Jean Vincent,19000,"Riazor, La Coruï¿½A",First group stage,Alexis Ponnet,Spain,1982
Soviet Union,New Zealand,3,0,Konstantin Beskov,John Adshead,19000,"La Rosaleda, Malaga",First group stage,Yusef Mohamed El Ghoul,Spain,1982
Belgium,El Salvador,1,0,Guy Thys,Mauricio Rodriguez,15000,"Nuevo Estadio, Elche",First group stage,Malcolm Moffatt,Spain,1982
Italy,Peru,1,1,Enzo Bearzot,Tim,25000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,Walter Eschweiler,Spain,1982
Brazil,Scotland,4,1,Tele Santana,Jock Stein,47379,"Benito Villamarin, Seville",First group stage,Jesus Paulino Siles,Spain,1982
Argentina,Hungary,4,1,Cesar Luis Menotti,Kalman Meszoly,32093,"Jose Rico Perez, Alicante",First group stage,Belaid Lacarne,Spain,1982
Chile,Austria,0,1,Luis Alberto Santibanez,Georg Schmidt,22500,"Carlos Tartiere, Oviedo",First group stage,Juan Cardellino De San Vicente,Spain,1982
Czechoslovakia,Kuwait,1,1,Jozef Venglos,Carlos Alberto Parreira,25000,"Jose Zorrilla, Valladolid",First group stage,Benjamin Dwomoh,Spain,1982
Yugoslavia,Northern Ireland,0,0,Miljan Miljanic,Billy Bingham,25000,"La Romareda, Zaragoza",First group stage,Erik Fredriksson,Spain,1982
England,France,3,1,Ron Greenwood,Michel Hidalgo,44172,"San Mames, Bilbao",First group stage,Antonio Garrido,Spain,1982
West Germany,Algeria,1,2,Jupp Derwall,Rachid Mekhloufi,42000,"El Molinon, Gijon",First group stage,Enrique Labo Revoredo,Spain,1982
Spain,Honduras,1,1,Jose Santamaria,Jose De La Paz,49562,"Luis Casanova, Valencia",First group stage,Arturo Andres Ithurralde,Spain,1982
Peru,Cameroon,0,0,Tim,Jean Vincent,11000,"Riazor, La Coruï¿½A",First group stage,Franz Woehrer,Spain,1982
Hungary,El Salvador,10,1,Kalman Meszoly,Mauricio Rodriguez,23000,"Nuevo Estadio, Elche",First group stage,Ebrahim Al Doy,Spain,1982
Scotland,New Zealand,5,2,Jock Stein,John Adshead,36000,"La Rosaleda, Malaga",First group stage,David Socha,Spain,1982
Italy,Poland,0,0,Enzo Bearzot,Antoni Piechniczek,33000,"Estadio Municipal de Balaï¿½dos, Vigo",First group stage,Michel Vautrot,Spain,1982
Brazil,Soviet Union,2,1,Tele Santana,Konstantin Beskov,68000,"Ramon Sanchez Pizjuan, Seville",First group stage,Augusto Lamo Castillo,Spain,1982
Argentina,Belgium,0,1,Cesar Luis Menotti,Guy Thys,95000,"Camp Nou, Barcelona",First group stage,Vojtech Christov,Spain,1982
Argentina,Netherlands,3,1,Cesar Luis Menotti,Ernst Happel,71483,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Final,Sergio Gonella,Argentina,1978
Brazil,Italy,2,1,Claudio Coutinho,Enzo Bearzot,69659,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Third-place match,Abraham Klein,Argentina,1978
Netherlands,Italy,2,1,Ernst Happel,Enzo Bearzot,67433,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,Angel Martinez,Argentina,1978
Austria,West Germany,3,2,Helmut Senekowitsch,Helmut Schoen,38318,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,Abraham Klein,Argentina,1978
Brazil,Poland,3,1,Claudio Coutinho,Jacek Gmoch,39586,"San Martin, Mendoza",Second round,Juan Silvagno Cavanna,Argentina,1978
Argentina,Peru,6,0,Cesar Luis Menotti,Marcos Calderon,37315,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,Robert Wurtz,Argentina,1978
Poland,Peru,1,0,Jacek Gmoch,Marcos Calderon,35288,"San Martin, Mendoza",Second round,Pat Partridge,Argentina,1978
West Germany,Netherlands,2,2,Helmut Schoen,Ernst Happel,40750,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,Ramon Barreto Ruiz,Argentina,1978
Italy,Austria,1,0,Enzo Bearzot,Helmut Senekowitsch,66695,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,Francis Rion,Argentina,1978
Argentina,Brazil,0,0,Cesar Luis Menotti,Claudio Coutinho,37326,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,Karoly Palotai,Argentina,1978
Netherlands,Austria,5,1,Ernst Happel,Helmut Senekowitsch,25050,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",Second round,John Gordon,Argentina,1978
West Germany,Italy,0,0,Helmut Schoen,Enzo Bearzot,67547,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",Second round,Dusan Maksimovic,Argentina,1978
Brazil,Peru,3,0,Claudio Coutinho,Marcos Calderon,31278,"San Martin, Mendoza",Second round,Nicolae Rainea,Argentina,1978
Argentina,Poland,2,0,Cesar Luis Menotti,Jacek Gmoch,37091,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",Second round,Ulf Eriksson,Argentina,1978
Brazil,Austria,1,0,Claudio Coutinho,Helmut Senekowitsch,35221,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",First round,Robert Wurtz,Argentina,1978
Spain,Sweden,1,0,Ladislao Kubala,Georg Ericson,42132,"Jose Amalfitani, Buenos Aires",First round,Ferdinand Biwersi,Argentina,1978
Peru,IR Iran,4,1,Marcos Calderon,Heshmat Mohadjerani,21262,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",First round,Alojzy Jarguz,Argentina,1978
